Benchmark                                                                  (setSize)  Mode  Cnt         Score   Error  Units
impl.fastutil.FastUtilPutMapBenchmarks.putRBTreeMap                             1000    ss    2    123144,000          us/op
impl.fastutil.FastUtilPutMapBenchmarks.putRBTreeMap                            10000    ss    2   1432065,200          us/op
impl.fastutil.FastUtilReadCollectionBenchmarks.containsAVLTreeSet                100    ss    2      3671,250          us/op
impl.fastutil.FastUtilReadCollectionBenchmarks.containsAVLTreeSet               1000    ss    2      3994,400          us/op
impl.fastutil.FastUtilReadCollectionBenchmarks.containsAVLTreeSet              10000    ss    2      7986,950          us/op
impl.fastutil.FastUtilReadCollectionBenchmarks.containsArrayList                 100    ss    2      5095,950          us/op
impl.fastutil.FastUtilReadCollectionBenchmarks.containsArrayList                1000    ss    2     16885,600          us/op
impl.fastutil.FastUtilReadCollectionBenchmarks.containsArrayList               10000    ss    2    131013,950          us/op
impl.fastutil.FastUtilReadCollectionBenchmarks.containsArraySet                  100    ss    2      7577,850          us/op
impl.fastutil.FastUtilReadCollectionBenchmarks.containsArraySet                 1000    ss    2     38985,900          us/op
impl.fastutil.FastUtilReadCollectionBenchmarks.containsArraySet                10000    ss    2    403983,600          us/op
impl.fastutil.FastUtilReadCollectionBenchmarks.containsLinkedSet                 100    ss    2      2017,350          us/op
impl.fastutil.FastUtilReadCollectionBenchmarks.containsLinkedSet                1000    ss    2      1842,050          us/op
impl.fastutil.FastUtilReadCollectionBenchmarks.containsLinkedSet               10000    ss    2      2393,450          us/op
impl.fastutil.FastUtilReadCollectionBenchmarks.containsRBTreeSet                 100    ss    2      4094,650          us/op
impl.fastutil.FastUtilReadCollectionBenchmarks.containsRBTreeSet                1000    ss    2      4632,750          us/op
impl.fastutil.FastUtilReadCollectionBenchmarks.containsRBTreeSet               10000    ss    2     10937,400          us/op
impl.fastutil.FastUtilReadCollectionBenchmarks.containsSet                       100    ss    2      2212,850          us/op
impl.fastutil.FastUtilReadCollectionBenchmarks.containsSet                      1000    ss    2      1952,900          us/op
impl.fastutil.FastUtilReadCollectionBenchmarks.containsSet                     10000    ss    2      4028,000          us/op
impl.fastutil.FastUtilReadCollectionBenchmarks.getArrayList                      100    ss    2      1805,500          us/op
impl.fastutil.FastUtilReadCollectionBenchmarks.getArrayList                     1000    ss    2      1528,000          us/op
impl.fastutil.FastUtilReadCollectionBenchmarks.getArrayList                    10000    ss    2      1816,850          us/op
impl.fastutil.FastUtilReadCollectionBenchmarks.indexOfArrayList                  100    ss    2      5781,350          us/op
impl.fastutil.FastUtilReadCollectionBenchmarks.indexOfArrayList                 1000    ss    2     16920,250          us/op
impl.fastutil.FastUtilReadCollectionBenchmarks.indexOfArrayList                10000    ss    2    131686,350          us/op
impl.fastutil.FastUtilReadCollectionBenchmarks.iterateForAVLTreeSet              100    ss    2      2631,900          us/op
impl.fastutil.FastUtilReadCollectionBenchmarks.iterateForAVLTreeSet             1000    ss    2     10219,850          us/op
impl.fastutil.FastUtilReadCollectionBenchmarks.iterateForAVLTreeSet            10000    ss    2     73377,650          us/op
impl.fastutil.FastUtilReadCollectionBenchmarks.iterateForArrayList               100    ss    2      2905,150          us/op
impl.fastutil.FastUtilReadCollectionBenchmarks.iterateForArrayList              1000    ss    2      9810,850          us/op
impl.fastutil.FastUtilReadCollectionBenchmarks.iterateForArrayList             10000    ss    2     36974,050          us/op
impl.fastutil.FastUtilReadCollectionBenchmarks.iterateForArraySet                100    ss    2      2214,300          us/op
impl.fastutil.FastUtilReadCollectionBenchmarks.iterateForArraySet               1000    ss    2      9328,900          us/op
impl.fastutil.FastUtilReadCollectionBenchmarks.iterateForArraySet              10000    ss    2     36146,100          us/op
